Nombre,Edad,Ingresos (MXN),Carrera,Trabajo
Sofía González,50,95444,Arquitectura,Analista de Comunicación
David Jiménez,60,94756,Relaciones Internacionales,Diseñador UX/UI
Francisco García,45,102157,Arquitectura,Profesor de Secundaria
Sofía Hernández,62,69465,Arquitectura,Especialista en Marketing
Juan Pérez,48,107485,Derecho,Desarrollador de Software
Francisco Pérez,56,42209,Gastronomía,Gerente de Proyectos
Elena Hernández,43,138193,Comunicación,Arquitecto
Francisco Martínez,42,33393,Marketing,Médico General
Isabel Rodríguez,32,11227,Medicina,Analista de Comunicación
Elena González,35,128407,Arquitectura,Desarrollador de Software
María García,46,15426,Marketing,Chef Ejecutivo
Laura Rodríguez,47,38836,Comunicación,Diseñador UX/UI
Francisco López,24,108364,Enfermería,Psicólogo Clínico
Francisco López,52,137611,Enfermería,Psicólogo Clínico
Isabel Sánchez,42,67071,Ingeniería en Sistemas,Analista de Comunicación
María Ramírez,44,10176,Arquitectura,Contador
María Gómez,55,20335,Medicina,Diplomático
Carmen Pérez,43,80261,Gastronomía,Diplomático
Patricia González,57,19902,Gastronomía,Chef Ejecutivo
Carmen Rodríguez,40,64108,Ingeniería Industrial,Arquitecto
Ana Hernández,39,37023,Arquitectura,Diseñador UX/UI
Javier Martínez,48,18750,Arquitectura,Diplomático
Laura Pérez,32,28176,Gastronomía,Ingeniero de Procesos
David Flores,64,115358,Ingeniería Industrial,Psicólogo Clínico
Luis Martínez,53,28498,Relaciones Internacionales,Chef Ejecutivo
Patricia Pérez,56,107866,Ingeniería en Sistemas,Especialista en Marketing
Carmen Hernández,34,148910,Gastronomía,Especialista en Marketing
María Flores,30,82055,Psicología,Abogado Corporativo
María Gómez,32,15358,Comunicación,Arquitecto
Ana Ramírez,48,31012,Gastronomía,Jefe de Enfermería
Isabel Flores,28,74140,Derecho,Jefe de Enfermería
Carmen González,22,48310,Educación,Ingeniero de Procesos
Carmen García,42,73704,Derecho,Diplomático
Luis Ramírez,61,147517,Diseño Gráfico,Psicólogo Clínico
Carmen Martínez,42,142348,Derecho,Analista de Comunicación
Ana Martínez,24,54895,Administración de Empresas,Gerente de Proyectos
Isabel Hernández,29,91062,Contaduría Pública,Jefe de Enfermería
Carlos Gómez,22,62317,Gastronomía,Profesor de Secundaria
Ana Sánchez,51,139658,Marketing,Profesor de Secundaria
Carmen Gómez,33,52263,Medicina,Jefe de Enfermería
David Sánchez,28,112282,Contaduría Pública,Chef Ejecutivo
Carlos Pérez,58,119313,Comunicación,Psicólogo Clínico
Juan Pérez,48,84576,Economía,Profesor de Secundaria
Elena Sánchez,57,90745,Ingeniería Industrial,Consultor Financiero
José Ramírez,46,63440,Ingeniería Industrial,Abogado Corporativo
Carmen Hernández,37,49693,Gastronomía,Diplomático
Ana López,55,101368,Arquitectura,Desarrollador de Software
Francisco Jiménez,37,14568,Medicina,Jefe de Enfermería
Juan González,35,146326,Contaduría Pública,Chef Ejecutivo
Luis Gómez,49,28303,Ingeniería en Sistemas,Jefe de Enfermería
Elena Jiménez,45,127613,Marketing,Gerente de Proyectos
María Rodríguez,33,129455,Diseño Gráfico,Diplomático
Laura García,64,66154,Medicina,Arquitecto
Ana Ramírez,36,129015,Enfermería,Profesor de Secundaria
Laura Ramírez,51,124834,Ingeniería Industrial,Especialista en Marketing
Isabel Martínez,25,127985,Diseño Gráfico,Médico General
Ana López,30,29851,Medicina,Diseñador UX/UI
Laura Sánchez,47,120358,Derecho,Profesor de Secundaria
Elena López,48,104648,Derecho,Diplomático
Sofía Martínez,25,23863,Psicología,Jefe de Enfermería
Francisco Hernández,54,93702,Enfermería,Diseñador UX/UI
Ana Pérez,46,135959,Arquitectura,Psicólogo Clínico
Patricia Rodríguez,26,80017,Ingeniería Industrial,Arquitecto
Carlos Sánchez,55,49006,Ingeniería en Sistemas,Desarrollador de Software
Ana López,28,57357,Enfermería,Arquitecto
Francisco Hernández,64,133183,Arquitectura,Gerente de Proyectos
María González,45,124941,Enfermería,Médico General
Juan Ramírez,59,111115,Ingeniería en Sistemas,Chef Ejecutivo
Francisco Ramírez,57,137628,Contaduría Pública,Profesor de Secundaria
Ana López,62,125560,Derecho,Gerente de Proyectos
Ana Ramírez,63,79232,Diseño Gráfico,Médico General
Elena Martínez,30,70460,Psicología,Gerente de Proyectos
Francisco Jiménez,47,71014,Diseño Gráfico,Analista de Comunicación
José González,45,61720,Economía,Arquitecto
David Pérez,47,66413,Contaduría Pública,Chef Ejecutivo
Javier Rodríguez,24,13224,Economía,Analista de Comunicación
Isabel Martínez,32,131076,Enfermería,Contador
Francisco Gómez,43,93925,Enfermería,Especialista en Marketing
José García,53,114495,Comunicación,Contador
Juan Sánchez,51,49906,Medicina,Jefe de Enfermería
Francisco Flores,48,136904,Ingeniería en Sistemas,Diplomático
Francisco Pérez,45,106821,Enfermería,Gerente de Proyectos
Patricia Jiménez,27,40754,Ingeniería Industrial,Desarrollador de Software
Miguel Sánchez,61,28197,Psicología,Desarrollador de Software
Elena López,57,35285,Psicología,Gerente de Proyectos
José Ramírez,57,71672,Diseño Gráfico,Arquitecto
Patricia Hernández,45,139061,Comunicación,Abogado Corporativo
Juan García,28,34703,Derecho,Médico General
Elena Pérez,40,112237,Psicología,Diplomático
Elena Sánchez,60,36314,Medicina,Arquitecto
Carlos González,25,80104,Educación,Ingeniero de Procesos
María Jiménez,47,92701,Relaciones Internacionales,Médico General
Isabel Flores,51,113883,Economía,Abogado Corporativo
Carlos Ramírez,31,57918,Ingeniería en Sistemas,Profesor de Secundaria
Luis Ramírez,62,86977,Contaduría Pública,Médico General
José Jiménez,24,138682,Medicina,Diplomático
Juan Martínez,55,54926,Ingeniería en Sistemas,Psicólogo Clínico
Francisco González,27,86536,Ingeniería en Sistemas,Diplomático
María González,52,106337,Relaciones Internacionales,Médico General
Isabel Pérez,61,20078,Administración de Empresas,Chef Ejecutivo
Sofía García,22,14732,Administración de Empresas,Médico General
Patricia Gómez,45,132589,Arquitectura,Consultor Financiero
Juan Rodríguez,39,107567,Gastronomía,Desarrollador de Software
David Flores,59,16028,Diseño Gráfico,Desarrollador de Software
Carlos Martínez,64,87361,Ingeniería en Sistemas,Médico General
Francisco Martínez,33,29723,Economía,Diplomático
Elena Jiménez,24,80476,Marketing,Especialista en Marketing
Isabel Pérez,63,111884,Medicina,Gerente de Proyectos
María Flores,45,149792,Relaciones Internacionales,Ingeniero de Procesos
Carlos Ramírez,58,68600,Administración de Empresas,Chef Ejecutivo
José García,64,48284,Diseño Gráfico,Especialista en Marketing
David Jiménez,43,106338,Enfermería,Psicólogo Clínico
José Flores,59,137230,Arquitectura,Ingeniero de Procesos
Laura Hernández,60,113989,Contaduría Pública,Diplomático
María Flores,64,107813,Gastronomía,Consultor Financiero
Carmen Ramírez,52,95223,Medicina,Diplomático
David Martínez,42,62737,Contaduría Pública,Profesor de Secundaria
Carmen Rodríguez,43,109420,Derecho,Psicólogo Clínico
Isabel López,54,17653,Psicología,Gerente de Proyectos
Ana Gómez,58,92357,Enfermería,Médico General
Laura Pérez,34,65761,Comunicación,Analista de Comunicación
Patricia Martínez,36,44573,Ingeniería Industrial,Analista de Comunicación
Laura González,58,127081,Economía,Contador
Ana Sánchez,45,136956,Comunicación,Abogado Corporativo
Javier Sánchez,47,63912,Economía,Chef Ejecutivo
Carlos López,63,39228,Educación,Abogado Corporativo
Isabel Hernández,31,124003,Contaduría Pública,Jefe de Enfermería
Francisco Flores,51,32297,Educación,Ingeniero de Procesos
Carmen Hernández,60,121623,Educación,Especialista en Marketing
Isabel Flores,46,55283,Enfermería,Médico General
Carlos Pérez,55,134079,Diseño Gráfico,Consultor Financiero
Laura Sánchez,41,70417,Derecho,Diplomático
María Gómez,57,82948,Ingeniería Industrial,Abogado Corporativo
José Rodríguez,35,88831,Psicología,Desarrollador de Software
Sofía Rodríguez,27,52131,Derecho,Psicólogo Clínico
Luis García,41,71382,Medicina,Analista de Comunicación
Patricia López,30,86579,Derecho,Consultor Financiero
Luis González,64,100412,Arquitectura,Profesor de Secundaria
José Sánchez,23,39689,Comunicación,Jefe de Enfermería
José García,36,39309,Enfermería,Arquitecto
Isabel Rodríguez,40,53761,Educación,Especialista en Marketing
Miguel Rodríguez,29,133072,Relaciones Internacionales,Desarrollador de Software
Francisco López,58,142585,Arquitectura,Gerente de Proyectos
Francisco Pérez,35,129474,Ingeniería en Sistemas,Abogado Corporativo
Ana Pérez,62,27450,Enfermería,Consultor Financiero
Patricia González,62,111383,Economía,Psicólogo Clínico
Javier Hernández,22,57801,Diseño Gráfico,Ingeniero de Procesos
Sofía Ramírez,22,106140,Psicología,Médico General
Laura Gómez,55,117868,Ingeniería en Sistemas,Contador
Miguel García,24,68188,Derecho,Desarrollador de Software
Carlos Martínez,32,111594,Educación,Diplomático
Elena Sánchez,58,18738,Psicología,Desarrollador de Software
Francisco López,55,98547,Gastronomía,Médico General
Sofía Hernández,45,44762,Gastronomía,Chef Ejecutivo
Javier Rodríguez,38,27304,Relaciones Internacionales,Diseñador UX/UI
Elena López,53,85449,Arquitectura,Psicólogo Clínico
Elena González,48,26515,Derecho,Arquitecto
Javier Jiménez,30,118279,Educación,Desarrollador de Software
José González,44,22098,Ingeniería Industrial,Médico General
Juan Martínez,38,128885,Educación,Diseñador UX/UI
Laura Flores,39,70798,Comunicación,Abogado Corporativo
Ana Jiménez,53,21554,Comunicación,Consultor Financiero
Elena Pérez,50,57580,Enfermería,Chef Ejecutivo
Sofía Gómez,34,112997,Psicología,Diseñador UX/UI
Isabel Rodríguez,48,18356,Comunicación,Gerente de Proyectos
Luis Flores,60,13769,Marketing,Diseñador UX/UI
Isabel López,55,21267,Relaciones Internacionales,Abogado Corporativo
Carmen Jiménez,31,138535,Economía,Abogado Corporativo
David García,40,9370,Medicina,Diplomático
María Ramírez,41,49169,Medicina,Médico General
Ana Gómez,41,111915,Administración de Empresas,Chef Ejecutivo
Ana Martínez,60,20337,Enfermería,Profesor de Secundaria
David González,52,10730,Marketing,Gerente de Proyectos
Javier Gómez,52,28125,Comunicación,Jefe de Enfermería
Javier Pérez,52,109642,Marketing,Diplomático
Laura Hernández,49,87836,Ingeniería en Sistemas,Consultor Financiero
Elena Flores,54,113701,Medicina,Contador
Carlos Rodríguez,47,78101,Contaduría Pública,Analista de Comunicación
Elena Gómez,47,79473,Medicina,Jefe de Enfermería
Miguel Sánchez,51,82802,Derecho,Ingeniero de Procesos
Miguel Pérez,61,122413,Enfermería,Psicólogo Clínico
Luis Flores,25,26358,Ingeniería Industrial,Médico General
Elena González,47,9532,Derecho,Profesor de Secundaria
Carmen García,52,28063,Economía,Abogado Corporativo
Patricia Gómez,26,36165,Contaduría Pública,Especialista en Marketing
Sofía Rodríguez,24,140137,Ingeniería Industrial,Abogado Corporativo
Miguel Gómez,36,138798,Comunicación,Jefe de Enfermería
Sofía Ramírez,64,83948,Gastronomía,Desarrollador de Software
Isabel Sánchez,23,92651,Relaciones Internacionales,Consultor Financiero
Javier Flores,33,116951,Administración de Empresas,Especialista en Marketing
Elena Pérez,63,52886,Comunicación,Contador
José Sánchez,32,147000,Ingeniería en Sistemas,Especialista en Marketing
Luis García,37,34261,Ingeniería Industrial,Contador
Miguel Ramírez,27,53577,Ingeniería en Sistemas,Arquitecto
Sofía Ramírez,34,30434,Comunicación,Desarrollador de Software
Ana Gómez,26,81746,Relaciones Internacionales,Diseñador UX/UI
Laura Flores,42,106851,Ingeniería Industrial,Diplomático
José Flores,57,141332,Medicina,Chef Ejecutivo
Luis Ramírez,51,16265,Ingeniería Industrial,Gerente de Proyectos
José Flores,32,58001,Derecho,Diplomático
Carlos Flores,39,45737,Diseño Gráfico,Jefe de Enfermería
Patricia Martínez,39,87737,Comunicación,Gerente de Proyectos
Luis Hernández,36,64284,Relaciones Internacionales,Psicólogo Clínico
Elena González,40,62641,Marketing,Jefe de Enfermería
David López,55,24079,Educación,Psicólogo Clínico
Juan Jiménez,62,32201,Economía,Profesor de Secundaria
Laura García,24,15877,Educación,Abogado Corporativo
María Pérez,43,71736,Arquitectura,Abogado Corporativo
Carlos Hernández,33,58241,Contaduría Pública,Contador
Ana Martínez,46,52865,Diseño Gráfico,Especialista en Marketing
María Rodríguez,62,144431,Administración de Empresas,Abogado Corporativo
José Ramírez,28,100159,Arquitectura,Chef Ejecutivo
Carlos Martínez,30,49207,Enfermería,Ingeniero de Procesos
María González,50,111909,Economía,Chef Ejecutivo
Carlos Gómez,47,125667,Arquitectura,Gerente de Proyectos
Juan González,54,132460,Diseño Gráfico,Analista de Comunicación
Juan Sánchez,60,89468,Psicología,Psicólogo Clínico
Isabel García,64,140177,Gastronomía,Gerente de Proyectos
David Hernández,49,100987,Relaciones Internacionales,Médico General
Javier Pérez,36,56591,Comunicación,Gerente de Proyectos
David Gómez,64,39197,Marketing,Abogado Corporativo
Carmen Sánchez,53,49821,Ingeniería en Sistemas,Médico General
Elena Gómez,51,146148,Enfermería,Analista de Comunicación
Juan Flores,60,138075,Educación,Gerente de Proyectos
Ana Jiménez,41,138335,Economía,Profesor de Secundaria
Sofía Pérez,54,122366,Economía,Analista de Comunicación
María Rodríguez,30,137826,Ingeniería en Sistemas,Chef Ejecutivo
José Gómez,60,147326,Arquitectura,Abogado Corporativo
Sofía Hernández,22,109420,Educación,Ingeniero de Procesos
Francisco Hernández,43,23625,Comunicación,Ingeniero de Procesos
David Flores,58,47274,Relaciones Internacionales,Médico General
Juan Hernández,46,90860,Enfermería,Chef Ejecutivo
Juan Rodríguez,36,54006,Relaciones Internacionales,Gerente de Proyectos
Carmen Hernández,27,99814,Arquitectura,Profesor de Secundaria
Patricia Martínez,40,75447,Medicina,Diseñador UX/UI
María Martínez,44,44659,Marketing,Médico General
Juan Pérez,39,134254,Educación,Especialista en Marketing
Francisco Hernández,45,55636,Gastronomía,Jefe de Enfermería
Sofía Pérez,22,109471,Ingeniería en Sistemas,Diplomático
José Gómez,41,10977,Arquitectura,Médico General
José Flores,55,45934,Administración de Empresas,Psicólogo Clínico
Francisco Ramírez,45,138188,Marketing,Consultor Financiero
Javier García,27,88725,Derecho,Diplomático
Sofía García,63,9492,Derecho,Chef Ejecutivo
María Ramírez,28,104028,Medicina,Contador
